System,Level,AttributeValue,AtkMultiplier,HPMultiplier,CostGold,CostStamina,SuccessRate,IsBreakthrough
闪避光环_v1,1,1.1000,,,15549845.10,0,100%,False
闪避光环_v1,2,1.2000,,,99015159.98,0,100%,False
闪避光环_v1,3,1.3000,,,543610173.65,0,100%,False
闪避光环_v1,4,1.4000,,,2630492997.08,0,100%,False
闪避光环_v1,5,1.5000,,,11416257398.21,0,100%,False
闪避光环_v1,6,1.6000,,,45066376766.63,0,100%,False
闪避光环_v1,7,1.7000,,,163688259835.78,0,100%,False
闪避光环_v1,8,1.8000,,,552274558242.41,0,100%,False
闪避光环_v1,9,1.9000,,,1744738161391.14,0,100%,False
闪避光环_v1,10,2.0000,,,5196066514240.67,0,100%,False
闪避光环_v1,11,2.1000,,,14672039697981.85,0,100%,False
闪避光环_v1,12,2.2000,,,39475747309213.98,0,100%,False
闪避光环_v1,13,2.3000,,,101638862199459.52,0,100%,False
闪避光环_v1,14,2.4000,,,251365683047682.19,0,100%,False
闪避光环_v1,15,2.5000,,,599096469641283.25,0,100%,False
闪避光环_v1,16,2.6000,,,1380040618424676.75,0,100%,False
闪避光环_v1,17,2.7000,,,3080408977214418.50,0,100%,False
闪避光环_v1,18,2.8000,,,6677923553319164.00,0,100%,False
闪避光环_v1,19,2.9000,,,14089040190908982.00,0,100%,False
闪避光环_v1,20,3.0000,,,28981979520491900.00,0,100%,False
闪避光环_v1,21,3.1000,,,58224052412605024.00,0,100%,False
闪避光环_v1,22,3.2000,,,114408142962643344.00,0,100%,False
闪避光环_v1,23,3.3000,,,220182958962553632.00,0,100%,False
闪避光环_v1,24,3.4000,,,415548601334732352.00,0,100%,False
闪避光环_v1,25,3.5000,,,769951734521349120.00,0,100%,False
闪避光环_v1,26,3.6000,,,1402036532495580928.00,0,100%,False
闪避光环_v1,27,3.7000,,,2511440312354087424.00,0,100%,False
闪避光环_v1,28,3.8000,,,4429294461244820480.00,0,100%,False
闪避光环_v1,29,3.9000,,,7697420506649484288.00,0,100%,False
闪避光环_v1,30,4.0000,,,13191038713473976320.00,0,100%,False
闪避光环_v1,31,4.1000,,,22306736651489026048.00,0,100%,False
闪避光环_v1,32,4.2000,,,37247299111987462144.00,0,100%,False
闪避光环_v1,33,4.3000,,,61448886040362819584.00,0,100%,False
闪避光环_v1,34,4.4000,,,100215443657623699456.00,0,100%,False
闪避光环_v1,35,4.5000,,,161652114079787122688.00,0,100%,False
闪避光环_v1,36,4.6000,,,258026367135992184832.00,0,100%,False
闪避光环_v1,37,4.7000,,,407736017506689024000.00,0,100%,False
闪避光环_v1,38,4.8000,,,638131641932089131008.00,0,100%,False
闪避光环_v1,39,4.9000,,,989532910863882387456.00,0,100%,False
闪避光环_v1,40,5.0000,,,0,0,100%,False
双攻光环_v1,0,1.0000,,,18390274.88,0,100%,False
双攻光环_v1,1,1.0100,,,20314304.52,0,100%,False
双攻光环_v1,2,1.0200,,,22417642.46,0,100%,False
双攻光环_v1,3,1.0300,,,24714991.63,0,100%,False
双攻光环_v1,4,1.0400,,,27222099.28,0,100%,False
双攻光环_v1,5,1.0500,,,29955819.93,0,100%,False
双攻光环_v1,6,1.0600,,,32934181.40,0,100%,False
双攻光环_v1,7,1.0700,,,36176454.18,0,100%,False
双攻光环_v1,8,1.0800,,,39703224.14,0,100%,False
双攻光环_v1,9,1.0900,,,43536468.71,0,100%,False
双攻光环_v1,10,1.1000,,,47699636.80,0,100%,False
双攻光环_v1,11,1.1100,,,52217732.42,0,100%,False
双攻光环_v1,12,1.1200,,,57117402.27,0,100%,False
双攻光环_v1,13,1.1300,,,62427027.39,0,100%,False
双攻光环_v1,14,1.1400,,,68176818.99,0,100%,False
双攻光环_v1,15,1.1500,,,74398918.79,0,100%,False
双攻光环_v1,16,1.1600,,,81127503.69,0,100%,False
双攻光环_v1,17,1.1700,,,88398895.36,0,100%,False
双攻光环_v1,18,1.1800,,,96251674.49,0,100%,False
双攻光环_v1,19,1.1900,,,104726800.23,0,100%,False
双攻光环_v1,20,1.2000,,,113867734.77,0,100%,False
双攻光环_v1,21,1.2100,,,123720573.30,0,100%,False
双攻光环_v1,22,1.2200,,,134334179.60,0,100%,False
双攻光环_v1,23,1.2300,,,145760327.36,0,100%,False
双攻光环_v1,24,1.2400,,,158053847.47,0,100%,False
双攻光环_v1,25,1.2500,,,171272781.45,0,100%,False
双攻光环_v1,26,1.2600,,,185478541.33,0,100%,False
双攻光环_v1,27,1.2700,,,200736075.94,0,100%,False
双攻光环_v1,28,1.2800,,,217114044.21,0,100%,False
双攻光环_v1,29,1.2900,,,234684995.27,0,100%,False
双攻光环_v1,30,1.3000,,,253525555.91,0,100%,False
双攻光环_v1,31,1.3100,,,273716625.49,0,100%,False
双攻光环_v1,32,1.3200,,,295343578.50,0,100%,False
双攻光环_v1,33,1.3300,,,318496475.14,0,100%,False
双攻光环_v1,34,1.3400,,,343270279.99,0,100%,False
双攻光环_v1,35,1.3500,,,369765089.23,0,100%,False
双攻光环_v1,36,1.3600,,,398086366.51,0,100%,False
双攻光环_v1,37,1.3700,,,428345187.74,0,100%,False
双攻光环_v1,38,1.3800,,,460658495.24,0,100%,False
双攻光环_v1,39,1.3900,,,495149361.26,0,100%,False
双攻光环_v1,40,1.4000,,,531947261.42,0,100%,False
双攻光环_v1,41,1.4100,,,571188358.16,0,100%,False
双攻光环_v1,42,1.4200,,,613015794.60,0,100%,False
双攻光环_v1,43,1.4300,,,657579999.08,0,100%,False
双攻光环_v1,44,1.4400,,,705039000.70,0,100%,False
双攻光环_v1,45,1.4500,,,755558756.12,0,100%,False
双攻光环_v1,46,1.4600,,,809313488.10,0,100%,False
双攻光环_v1,47,1.4700,,,866486035.85,0,100%,False
双攻光环_v1,48,1.4800,,,927268217.80,0,100%,False
双攻光环_v1,49,1.4900,,,991861206.92,0,100%,False
双攻光环_v1,50,1.5000,,,1060475919.09,0,100%,False
双攻光环_v1,51,1.5100,,,1133333414.79,0,100%,False
双攻光环_v1,52,1.5200,,,1210665314.44,0,100%,False
双攻光环_v1,53,1.5300,,,1292714227.91,0,100%,False
双攻光环_v1,54,1.5400,,,1379734198.47,0,100%,False
双攻光环_v1,55,1.5500,,,1471991161.49,0,100%,False
双攻光环_v1,56,1.5600,,,1569763418.53,0,100%,False
双攻光环_v1,57,1.5700,,,1673342126.93,0,100%,False
双攻光环_v1,58,1.5800,,,1783031805.55,0,100%,False
双攻光环_v1,59,1.5900,,,1899150856.95,0,100%,False
双攻光环_v1,60,1.6000,,,2022032106.41,0,100%,False
双攻光环_v1,61,1.6100,,,2152023358.41,0,100%,False
双攻光环_v1,62,1.6200,,,2289487970.74,0,100%,False
双攻光环_v1,63,1.6300,,,2434805446.91,0,100%,False
双攻光环_v1,64,1.6400,,,2588372047.29,0,100%,False
双攻光环_v1,65,1.6500,,,2750601419.27,0,100%,False
双攻光环_v1,66,1.6600,,,2921925247.18,0,100%,False
双攻光环_v1,67,1.6700,,,3102793922.27,0,100%,False
双攻光环_v1,68,1.6800,,,3293677233.31,0,100%,False
双攻光环_v1,69,1.6900,,,3495065078.28,0,100%,False
双攻光环_v1,70,1.7000,,,3707468197.76,0,100%,False
双攻光环_v1,71,1.7100,,,3931418930.37,0,100%,False
双攻光环_v1,72,1.7200,,,4167471991.03,0,100%,False
双攻光环_v1,73,1.7300,,,4416205272.28,0,100%,False
双攻光环_v1,74,1.7400,,,4678220669.55,0,100%,False
双攻光环_v1,75,1.7500,,,4954144930.62,0,100%,False
双攻光环_v1,76,1.7600,,,5244630530.09,0,100%,False
双攻光环_v1,77,1.7700,,,5550356569.30,0,100%,False
双攻光环_v1,78,1.7800,,,5872029702.33,0,100%,False
双攻光环_v1,79,1.7900,,,6210385088.69,0,100%,False
双攻光环_v1,80,1.8000,,,6566187373.33,0,100%,False
双攻光环_v1,81,1.8100,,,6940231694.49,0,100%,False
双攻光环_v1,82,1.8200,,,7333344720.21,0,100%,False
双攻光环_v1,83,1.8300,,,7746385713.92,0,100%,False
双攻光环_v1,84,1.8400,,,8180247629.95,0,100%,False
双攻光环_v1,85,1.8500,,,8635858239.56,0,100%,False
双攻光环_v1,86,1.8600,,,9114181288.08,0,100%,False
双攻光环_v1,87,1.8700,,,9616217683.99,0,100%,False
双攻光环_v1,88,1.8800,,,10143006720.58,0,100%,False
双攻光环_v1,89,1.8900,,,10695627330.83,0,100%,False
双攻光环_v1,90,1.9000,,,11275199376.38,0,100%,False
双攻光环_v1,91,1.9100,,,11882884971.16,0,100%,False
双攻光环_v1,92,1.9200,,,12519889840.54,0,100%,False
双攻光环_v1,93,1.9300,,,13187464716.75,0,100%,False
双攻光环_v1,94,1.9400,,,13886906771.23,0,100%,False
双攻光环_v1,95,1.9500,,,14619561084.84,0,100%,False
双攻光环_v1,96,1.9600,,,15386822156.65,0,100%,False
双攻光环_v1,97,1.9700,,,16190135452.05,0,100%,False
双攻光环_v1,98,1.9800,,,17030998991.18,0,100%,False
双攻光环_v1,99,1.9900,,,17910964978.27,0,100%,False
双攻光环_v1,100,2.0000,,,0,0,100%,False
免伤光环_v1,0,1.0000,,,28338851.83,0,100%,False
免伤光环_v1,1,1.1000,,,215296965.65,0,100%,False
免伤光环_v1,2,1.2000,,,1370924492.04,0,100%,False
免伤光环_v1,3,1.3000,,,7526610080.07,0,100%,False
免伤光环_v1,4,1.4000,,,36420758968.47,0,100%,False
免伤光环_v1,5,1.5000,,,158064955688.26,0,100%,False
免伤光环_v1,6,1.6000,,,623971114015.18,0,100%,False
免伤光环_v1,7,1.7000,,,2266362489485.97,0,100%,False
免伤光环_v1,8,1.8000,,,7646573700238.27,0,100%,False
免伤光环_v1,9,1.9000,,,24156950088654.40,0,100%,False
免伤光环_v1,10,2.0000,,,71942668659094.47,0,100%,False
免伤光环_v1,11,2.1000,,,203143221444932.09,0,100%,False
免伤光环_v1,12,2.2000,,,546565483900843.81,0,100%,False
免伤光环_v1,13,2.3000,,,1407251228609733.75,0,100%,False
免伤光环_v1,14,2.4000,,,3480309191232335.00,0,100%,False
免伤光环_v1,15,2.5000,,,8294851247979959.00,0,100%,False
免伤光环_v1,16,2.6000,,,19107493076794696.00,0,100%,False
免伤光环_v1,17,2.7000,,,42650116540054056.00,0,100%,False
免伤光环_v1,18,2.8000,,,92459871368180720.00,0,100%,False
免伤光环_v1,19,2.9000,,,195071242333269792.00,0,100%,False
免伤光环_v1,20,3.0000,,,401272952148132672.00,0,100%,False
免伤光环_v1,21,3.1000,,,806147053589425792.00,0,100%,False
免伤光环_v1,22,3.2000,,,1584049607237673984.00,0,100%,False
免伤光环_v1,23,3.3000,,,3048565605849805312.00,0,100%,False
免伤光环_v1,24,3.4000,,,5753520524735549440.00,0,100%,False
免伤光环_v1,25,3.5000,,,10660445236478904320.00,0,100%,False
免伤光环_v1,26,3.6000,,,19412039747534962688.00,0,100%,False
免伤光环_v1,27,3.7000,,,34772402884682203136.00,0,100%,False
免伤光环_v1,28,3.8000,,,61326248027343699968.00,0,100%,False
免伤光环_v1,29,3.9000,,,106575420372679540736.00,0,100%,False
免伤光环_v1,30,4.0000,,,0,0,100%,False
群体狂暴-伤害主动技能_v1,0,1.0000,,,166647.84,0,100%,False
群体狂暴-伤害主动技能_v1,1,1.1000,,,562591.39,0,100%,False
群体狂暴-伤害主动技能_v1,2,1.2100,,,1899268.98,0,100%,False
群体狂暴-伤害主动技能_v1,3,1.3310,,,6411798.56,0,100%,False
群体狂暴-伤害主动技能_v1,4,1.4641,,,21645781.24,0,100%,False
群体狂暴-伤害主动技能_v1,5,1.6105,,,73074635.88,0,100%,False
群体狂暴-伤害主动技能_v1,6,1.7716,,,246694834.03,0,100%,False
群体狂暴-伤害主动技能_v1,7,1.9487,,,832824418.52,0,100%,False
群体狂暴-伤害主动技能_v1,8,2.1436,,,2811556694.36,0,100%,False
群体狂暴-伤害主动技能_v1,9,2.3579,,,9491617764.60,0,100%,False
群体狂暴-伤害主动技能_v1,10,2.5937,,,32043034369.51,0,100%,False
群体狂暴-伤害主动技能_v1,11,2.8531,,,108175031598.43,0,100%,False
群体狂暴-伤害主动技能_v1,12,3.1384,,,365191302620.77,0,100%,False
群体狂暴-伤害主动技能_v1,13,3.4523,,,1232860166890.74,0,100%,False
群体狂暴-伤害主动技能_v1,14,3.7975,,,4162049260752.07,0,100%,False
群体狂暴-伤害主动技能_v1,15,4.1772,,,14050785737213.29,0,100%,False
群体狂暴-伤害主动技能_v1,16,4.5950,,,47434464962916.49,0,100%,False
群体狂暴-伤害主动技能_v1,17,5.0000,,,0,0,100%,False
毒素注入-伤害主动技能_v1,0,1.0000,,,9242510.43,0,100%,False
毒素注入-伤害主动技能_v1,1,1.1000,,,31202065.52,0,100%,False
毒素注入-伤害主动技能_v1,2,1.2100,,,105335979.87,0,100%,False
毒素注入-伤害主动技能_v1,3,1.3310,,,355606863.54,0,100%,False
毒素注入-伤害主动技能_v1,4,1.4641,,,1200503774.30,0,100%,False
毒素注入-伤害主动技能_v1,5,1.6105,,,4052816353.82,0,100%,False
毒素注入-伤害主动技能_v1,6,1.7716,,,13682023121.83,0,100%,False
毒素注入-伤害主动技能_v1,7,1.9487,,,46189548295.17,0,100%,False
毒素注入-伤害主动技能_v1,8,2.1436,,,155932668196.45,0,100%,False
毒素注入-伤害主动技能_v1,9,2.3579,,,526417726700.41,0,100%,False
毒素注入-伤害主动技能_v1,10,2.5937,,,1777149241333.56,0,100%,False
毒素注入-伤害主动技能_v1,11,2.8531,,,5999530915815.47,0,100%,False
毒素注入-伤害主动技能_v1,12,3.1384,,,20253994640774.11,0,100%,False
毒素注入-伤害主动技能_v1,13,3.4523,,,68376062172978.68,0,100%,False
毒素注入-伤害主动技能_v1,14,3.7975,,,230832779469144.53,0,100%,False
毒素注入-伤害主动技能_v1,15,4.1772,,,779275237328711.75,0,100%,False
毒素注入-伤害主动技能_v1,16,4.5950,,,2630778422849143.00,0,100%,False
毒素注入-伤害主动技能_v1,17,5.0000,,,0,0,100%,False
天降甘霖-防御主动技能_v1,0,1.0000,,,83323.92,0,100%,False
天降甘霖-防御主动技能_v1,1,1.1000,,,134194.01,0,100%,False
天降甘霖-防御主动技能_v1,2,1.2100,,,216120.79,0,100%,False
天降甘霖-防御主动技能_v1,3,1.3310,,,348064.70,0,100%,False
天降甘霖-防御主动技能_v1,4,1.4641,,,560561.68,0,100%,False
天降甘霖-防御主动技能_v1,5,1.6105,,,902790.19,0,100%,False
天降甘霖-防御主动技能_v1,6,1.7716,,,1453952.63,0,100%,False
天降甘霖-防御主动技能_v1,7,1.9487,,,2341605.25,0,100%,False
天降甘霖-防御主动技能_v1,8,2.1436,,,3771178.67,0,100%,False
天降甘霖-防御主动技能_v1,9,2.3579,,,6073520.97,0,100%,False
天降甘霖-防御主动技能_v1,10,2.5937,,,9781466.25,0,100%,False
天降甘霖-防御主动技能_v1,11,2.8531,,,15753149.21,0,100%,False
天降甘霖-防御主动技能_v1,12,3.0000,,,0,0,100%,False
神圣战甲-防御主动技能_v1,0,1.0000,,,4621255.38,0,100%,False
神圣战甲-防御主动技能_v1,1,1.1000,,,7442578.00,0,100%,False
神圣战甲-防御主动技能_v1,2,1.2100,,,11986346.29,0,100%,False
神圣战甲-防御主动技能_v1,3,1.3310,,,19304130.56,0,100%,False
神圣战甲-防御主动技能_v1,4,1.4641,,,31089495.31,0,100%,False
神圣战甲-防御主动技能_v1,5,1.6105,,,50069943.10,0,100%,False
神圣战甲-防御主动技能_v1,6,1.7716,,,80638144.06,0,100%,False
神圣战甲-防御主动技能_v1,7,1.9487,,,129868537.38,0,100%,False
神圣战甲-防御主动技能_v1,8,2.1436,,,209154578.14,0,100%,False
神圣战甲-防御主动技能_v1,9,2.3579,,,336845539.64,0,100%,False
神圣战甲-防御主动技能_v1,10,2.5937,,,542493110.05,0,100%,False
神圣战甲-防御主动技能_v1,11,2.8531,,,873690578.67,0,100%,False
神圣战甲-防御主动技能_v1,12,3.0000,,,0,0,100%,False
战争践踏-伤害被动技能_v1,0,1.0000,,,12636.71,0,100%,False
战争践踏-伤害被动技能_v1,1,1.2000,,,78243.19,0,100%,False
战争践踏-伤害被动技能_v1,2,1.4000,,,365522.78,0,100%,False
战争践踏-伤害被动技能_v1,3,1.6000,,,1389421.20,0,100%,False
战争践踏-伤害被动技能_v1,4,1.8000,,,4511896.66,0,100%,False
战争践踏-伤害被动技能_v1,5,2.0000,,,12939993.26,0,100%,False
战争践踏-伤害被动技能_v1,6,2.2000,,,33563009.95,0,100%,False
战争践踏-伤害被动技能_v1,7,2.4000,,,80121027.56,0,100%,False
战争践踏-伤害被动技能_v1,8,2.6000,,,178388795.51,0,100%,False
战争践踏-伤害被动技能_v1,9,2.8000,,,374295328.52,0,100%,False
战争践踏-伤害被动技能_v1,10,3.0000,,,746185216.69,0,100%,False
战争践踏-伤害被动技能_v1,11,3.2000,,,1422767305.05,0,100%,False
战争践踏-伤害被动技能_v1,12,3.4000,,,2608694747.99,0,100%,False
战争践踏-伤害被动技能_v1,13,3.6000,,,4620182184.03,0,100%,False
战争践踏-伤害被动技能_v1,14,3.8000,,,7933595604.00,0,100%,False
战争践踏-伤害被动技能_v1,15,4.0000,,,13250553096.14,0,100%,False
战争践踏-伤害被动技能_v1,16,4.2000,,,21583754740.14,0,100%,False
战争践踏-伤害被动技能_v1,17,4.4000,,,34368522185.28,0,100%,False
战争践踏-伤害被动技能_v1,18,4.6000,,,53605877580.52,0,100%,False
战争践踏-伤害被动技能_v1,19,4.8000,,,82043932222.34,0,100%,False
战争践踏-伤害被动技能_v1,20,5.0000,,,123405392245.80,0,100%,False
战争践踏-伤害被动技能_v1,21,5.2000,,,182670126599.96,0,100%,False
战争践踏-伤害被动技能_v1,22,5.4000,,,266422986117.72,0,100%,False
战争践踏-伤害被动技能_v1,23,5.6000,,,383278416406.64,0,100%,False
战争践踏-伤害被动技能_v1,24,5.8000,,,544394876247.69,0,100%,False
战争践踏-伤害被动技能_v1,25,6.0000,,,764093661888.90,0,100%,False
战争践踏-伤害被动技能_v1,26,6.2000,,,1060598450755.96,0,100%,False
战争践踏-伤害被动技能_v1,27,6.4000,,,1456913720367.42,0,100%,False
战争践踏-伤害被动技能_v1,28,6.6000,,,1981862174334.54,0,100%,False
战争践踏-伤害被动技能_v1,29,6.8000,,,2671303421940.29,0,100%,False
战争践踏-伤害被动技能_v1,30,7.0000,,,3569558415623.80,0,100%,False
战争践踏-伤害被动技能_v1,31,7.2000,,,4731066556442.52,0,100%,False
战争践踏-伤害被动技能_v1,32,7.4000,,,6222304935938.82,0,100%,False
战争践踏-伤害被动技能_v1,33,7.6000,,,8124001898497.22,0,100%,False
战争践踏-伤害被动技能_v1,34,7.8000,,,10533679985938.41,0,100%,False
战争践踏-伤害被动技能_v1,35,8.0000,,,13568566370451.98,0,100%,False
战争践踏-伤害被动技能_v1,36,8.2000,,,17368912097718.03,0,100%,False
战争践踏-伤害被动技能_v1,37,8.4000,,,22101764853902.25,0,100%,False
战争践踏-伤害被动技能_v1,38,8.6000,,,27965243542828.11,0,100%,False
战争践踏-伤害被动技能_v1,39,8.8000,,,35193366717726.05,0,100%,False
战争践踏-伤害被动技能_v1,40,9.0000,,,44061490860232.03,0,100%,False
战争践踏-伤害被动技能_v1,41,9.2000,,,54892418642447.84,0,100%,False
战争践踏-伤害被动技能_v1,42,9.4000,,,68063241650584.66,0,100%,False
战争践踏-伤害被动技能_v1,43,9.6000,,,84012986595678.56,0,100%,False
战争践踏-伤害被动技能_v1,44,9.8000,,,103251138792792.98,0,100%,False
战争践踏-伤害被动技能_v1,45,10.0000,,,0,0,100%,False
强化_v2,0,0.0000,0.0000,0.0000,21.70,0,100%,False
强化_v2,1,0.0000,0.0000,0.0000,22.78,0,92%,False
强化_v2,2,0.0000,0.0000,0.0000,23.92,0,84%,False
强化_v2,3,0.0000,0.0000,0.0000,25.12,0,76%,False
强化_v2,4,0.0000,0.0000,0.0000,26.37,0,68%,False
强化_v2,5,0.0000,0.0000,0.0000,27.69,0,60%,False
强化_v2,6,0.0000,0.0000,0.0000,29.08,0,52%,False
强化_v2,7,0.0000,0.0000,0.0000,30.53,0,44%,False
强化_v2,8,0.0000,0.0000,0.0000,32.06,0,36%,False
强化_v2,9,0.0000,0.0000,0.0000,0,3.00,28%,True
强化_v2,10,0.0000,0.0000,0.0000,33.66,0,100%,False
强化_v2,11,0.0000,0.0000,0.0000,35.34,0,92%,False
强化_v2,12,0.0000,0.0000,0.0000,37.11,0,84%,False
强化_v2,13,0.0000,0.0000,0.0000,38.97,0,76%,False
强化_v2,14,0.0000,0.0000,0.0000,40.91,0,68%,False
强化_v2,15,0.0000,0.0000,0.0000,42.96,0,60%,False
强化_v2,16,0.0000,0.0000,0.0000,45.11,0,52%,False
强化_v2,17,0.0000,0.0000,0.0000,47.36,0,44%,False
强化_v2,18,0.0000,0.0000,0.0000,49.73,0,36%,False
强化_v2,19,0.0000,0.0000,0.0000,0,3.90,28%,True
强化_v2,20,0.0000,0.0000,0.0000,52.22,0,100%,False
强化_v2,21,0.0000,0.0000,0.0000,54.83,0,92%,False
强化_v2,22,0.0000,0.0000,0.0000,57.57,0,84%,False
强化_v2,23,0.0000,0.0000,0.0000,60.45,0,76%,False
强化_v2,24,0.0000,0.0000,0.0000,63.47,0,68%,False
强化_v2,25,0.0000,0.0000,0.0000,66.65,0,60%,False
强化_v2,26,0.0000,0.0000,0.0000,69.98,0,52%,False
强化_v2,27,0.0000,0.0000,0.0000,73.48,0,44%,False
强化_v2,28,0.0000,0.0000,0.0000,77.15,0,36%,False
强化_v2,29,0.0000,0.0000,0.0000,0,5.07,28%,True
强化_v2,30,0.0000,0.0000,0.0000,81.01,0,100%,False
强化_v2,31,0.0000,0.0000,0.0000,85.06,0,92%,False
强化_v2,32,0.0000,0.0000,0.0000,89.31,0,84%,False
强化_v2,33,0.0000,0.0000,0.0000,93.78,0,76%,False
强化_v2,34,0.0000,0.0000,0.0000,98.47,0,68%,False
强化_v2,35,0.0000,0.0000,0.0000,103.39,0,60%,False
强化_v2,36,0.0000,0.0000,0.0000,108.56,0,52%,False
强化_v2,37,0.0000,0.0000,0.0000,113.99,0,44%,False
强化_v2,38,0.0000,0.0000,0.0000,119.69,0,36%,False
强化_v2,39,0.0000,0.0000,0.0000,0,6.59,28%,True
强化_v2,40,0.0000,0.0000,0.0000,125.67,0,100%,False
强化_v2,41,0.0000,0.0000,0.0000,131.95,0,92%,False
强化_v2,42,0.0000,0.0000,0.0000,138.55,0,84%,False
强化_v2,43,0.0000,0.0000,0.0000,145.48,0,76%,False
强化_v2,44,0.0000,0.0000,0.0000,152.75,0,68%,False
强化_v2,45,0.0000,0.0000,0.0000,160.39,0,60%,False
强化_v2,46,0.0000,0.0000,0.0000,168.41,0,52%,False
强化_v2,47,0.0000,0.0000,0.0000,176.83,0,44%,False
强化_v2,48,0.0000,0.0000,0.0000,185.67,0,36%,False
强化_v2,49,0.0000,0.0000,0.0000,0,8.57,28%,True
强化_v2,50,0.0000,0.0000,0.0000,194.95,0,100%,False
强化_v2,51,0.0000,0.0000,0.0000,204.70,0,92%,False
强化_v2,52,0.0000,0.0000,0.0000,214.94,0,84%,False
强化_v2,53,0.0000,0.0000,0.0000,225.68,0,76%,False
强化_v2,54,0.0000,0.0000,0.0000,236.97,0,68%,False
强化_v2,55,0.0000,0.0000,0.0000,248.82,0,60%,False
强化_v2,56,0.0000,0.0000,0.0000,261.26,0,52%,False
强化_v2,57,0.0000,0.0000,0.0000,274.32,0,44%,False
强化_v2,58,0.0000,0.0000,0.0000,288.04,0,36%,False
强化_v2,59,0.0000,0.0000,0.0000,0,11.14,28%,True
强化_v2,60,0.0000,0.0000,0.0000,302.44,0,100%,False
强化_v2,61,0.0000,0.0000,0.0000,317.56,0,92%,False
强化_v2,62,0.0000,0.0000,0.0000,333.44,0,84%,False
强化_v2,63,0.0000,0.0000,0.0000,350.11,0,76%,False
强化_v2,64,0.0000,0.0000,0.0000,367.62,0,68%,False
强化_v2,65,0.0000,0.0000,0.0000,386.00,0,60%,False
强化_v2,66,0.0000,0.0000,0.0000,405.30,0,52%,False
强化_v2,67,0.0000,0.0000,0.0000,425.56,0,44%,False
强化_v2,68,0.0000,0.0000,0.0000,446.84,0,36%,False
强化_v2,69,0.0000,0.0000,0.0000,0,14.48,28%,True
强化_v2,70,0.0000,0.0000,0.0000,469.18,0,100%,False
强化_v2,71,0.0000,0.0000,0.0000,492.64,0,92%,False
强化_v2,72,0.0000,0.0000,0.0000,517.27,0,84%,False
强化_v2,73,0.0000,0.0000,0.0000,543.14,0,76%,False
强化_v2,74,0.0000,0.0000,0.0000,570.29,0,68%,False
强化_v2,75,0.0000,0.0000,0.0000,598.81,0,60%,False
强化_v2,76,0.0000,0.0000,0.0000,628.75,0,52%,False
强化_v2,77,0.0000,0.0000,0.0000,660.19,0,44%,False
强化_v2,78,0.0000,0.0000,0.0000,693.20,0,36%,False
强化_v2,79,0.0000,0.0000,0.0000,0,18.82,28%,True
强化_v2,80,0.0000,0.0000,0.0000,727.86,0,100%,False
强化_v2,81,0.0000,0.0000,0.0000,764.25,0,92%,False
强化_v2,82,0.0000,0.0000,0.0000,802.46,0,84%,False
强化_v2,83,0.0000,0.0000,0.0000,842.58,0,76%,False
强化_v2,84,0.0000,0.0000,0.0000,884.71,0,68%,False
强化_v2,85,0.0000,0.0000,0.0000,928.95,0,60%,False
强化_v2,86,0.0000,0.0000,0.0000,975.40,0,52%,False
强化_v2,87,0.0000,0.0000,0.0000,1024.17,0,44%,False
强化_v2,88,0.0000,0.0000,0.0000,1075.37,0,36%,False
强化_v2,89,0.0000,0.0000,0.0000,0,24.47,28%,True
强化_v2,90,0.0000,0.0000,0.0000,1129.14,0,100%,False
强化_v2,91,0.0000,0.0000,0.0000,1185.60,0,92%,False
强化_v2,92,0.0000,0.0000,0.0000,1244.88,0,84%,False
强化_v2,93,0.0000,0.0000,0.0000,1307.12,0,76%,False
强化_v2,94,0.0000,0.0000,0.0000,1372.48,0,68%,False
强化_v2,95,0.0000,0.0000,0.0000,1441.10,0,60%,False
强化_v2,96,0.0000,0.0000,0.0000,1513.16,0,52%,False
强化_v2,97,0.0000,0.0000,0.0000,1588.82,0,44%,False
强化_v2,98,0.0000,0.0000,0.0000,1668.26,0,36%,False
强化_v2,99,0.0000,0.0000,0.0000,0,31.81,28%,True
强化_v2,100,0.0000,0.0000,0.0000,1751.67,0,100%,False
强化_v2,101,0.0000,0.0000,0.0000,1839.25,0,92%,False
强化_v2,102,0.0000,0.0000,0.0000,1931.22,0,84%,False
强化_v2,103,0.0000,0.0000,0.0000,2027.78,0,76%,False
强化_v2,104,0.0000,0.0000,0.0000,2129.17,0,68%,False
强化_v2,105,0.0000,0.0000,0.0000,2235.62,0,60%,False
强化_v2,106,0.0000,0.0000,0.0000,2347.41,0,52%,False
强化_v2,107,0.0000,0.0000,0.0000,2464.78,0,44%,False
强化_v2,108,0.0000,0.0000,0.0000,2588.01,0,36%,False
强化_v2,109,0.0000,0.0000,0.0000,0,41.36,28%,True
强化_v2,110,0.0000,0.0000,0.0000,2717.42,0,100%,False
强化_v2,111,0.0000,0.0000,0.0000,2853.29,0,92%,False
强化_v2,112,0.0000,0.0000,0.0000,2995.95,0,84%,False
强化_v2,113,0.0000,0.0000,0.0000,3145.75,0,76%,False
强化_v2,114,0.0000,0.0000,0.0000,3303.04,0,68%,False
强化_v2,115,0.0000,0.0000,0.0000,3468.19,0,60%,False
强化_v2,116,0.0000,0.0000,0.0000,3641.60,0,52%,False
强化_v2,117,0.0000,0.0000,0.0000,3823.68,0,44%,False
强化_v2,118,0.0000,0.0000,0.0000,4014.86,0,36%,False
